                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.36467,                0.25562,                0.85541,                 0.9607,                 0.9977,                 0.9936,                0.93239,                0.38414,                0.26189,                0.83454,              0.0001916,              0.0001916,              0.0001916
                    139,                0.38351,                0.26696,                0.86537,                0.98549,                0.96939,                 0.9936,                0.92717,                0.40366,                0.25126,                 0.8408,              0.0001784,              0.0001784,              0.0001784
                    140,                0.36766,                0.25625,                0.87216,                0.96069,                0.99761,                 0.9937,                 0.9321,                0.38493,                0.24691,                0.84033,              0.0001652,              0.0001652,              0.0001652
                    141,                0.32833,                0.22805,                0.84581,                0.96965,                0.97798,                0.99321,                 0.9235,                0.40185,                0.25929,                0.84167,               0.000152,               0.000152,               0.000152
                    142,                 0.3075,                 0.2244,                0.82507,                0.96987,                0.98559,                 0.9935,                0.92597,                0.40285,                0.25499,                0.84049,              0.0001388,              0.0001388,              0.0001388
                    143,                0.30946,                0.22447,                0.83572,                0.96593,                      1,                 0.9936,                0.93497,                0.39698,                0.25079,                0.83463,              0.0001256,              0.0001256,              0.0001256
                    144,                0.31143,                0.22164,                0.84167,                0.96611,                      1,                 0.9936,                0.93326,                0.40357,                0.25491,                0.83724,              0.0001124,              0.0001124,              0.0001124
                    145,                0.31072,                0.22063,                0.83162,                0.96653,                      1,                 0.9936,                0.93395,                0.39765,                0.24908,                0.83608,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.31234,                0.22148,                0.83038,                0.96927,                      1,                 0.9936,                0.93529,                0.39144,                0.24611,                0.83562,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.31139,                0.22124,                0.82943,                0.97025,                0.99834,                 0.9936,                0.93379,                0.39036,                0.24809,                 0.8361,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.30216,                0.21541,                0.82428,                0.97025,                0.99833,                0.99369,                  0.937,                0.38229,                0.23867,                0.83115,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.29767,                0.21332,                0.82813,                0.96995,                0.98827,                 0.9935,                0.93688,                0.38391,                0.23983,                0.83286,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.29885,                0.21675,                0.82904,                0.96252,                 0.9898,                 0.9935,                0.93579,                0.38652,                0.24512,                0.83356,               3.32e-05,               3.32e-05,               3.32e-05
